,Query,A,B,C,ID_ABC,ID_AB,ID_A,ID
742,家の前の道にある無断駐輪の自転車は勝手に動かしてもいいのでしょうか？,293,,,['293'],['293'],['293'],['293']
743,生活保護の申請はどうすればいい？,298,,243,"['298', '243']",['298'],['298'],"['298', '243']"
744,引っ越しの時に燃えるゴミや燃えないゴミはどうすればよいですか？,1784,,1718,"['1784', '1718']",['1784'],['1784'],"['1784', '1718']"
745,健康づくりをするために安く利用できる施設はありますか？,67 815 1112 470,157 868,,"['67', '815', '1112', '470', '157', '868']","['67', '815', '1112', '470', '157', '868']","['67', '815', '1112', '470']","['67', '815', '1112', '470', '157', '868']"
746,自宅の庭に、スズメバチが巣を作って困っている。,177,,,['177'],['177'],['177'],['177']
747,害虫駆除はお願いできますか？,1117 727 420 1185,,1594 177,"['1117', '727', '420', '1185', '1594', '177']","['1117', '727', '420', '1185']","['1117', '727', '420', '1185']","['1117', '727', '420', '1185', '1594', '177']"
748,カラスが怖くて安心して外に出られないときがあります。何とかなりませんか？,185 511,,,"['185', '511']","['185', '511']","['185', '511']","['185', '511']"
749,のら犬が家の周りをうろついて困っている,,1134 514 1670 503 1499 1293,,"['1134', '514', '1670', '503', '1499', '1293']","['1134', '514', '1670', '503', '1499', '1293']",[],"['1134', '514', '1670', '503', '1499', '1293']"
750,自宅の前の歩道に、犬の死骸が放置してあります。どこに相談したら良いですか？,,1134 1670,,"['1134', '1670']","['1134', '1670']",[],"['1134', '1670']"
751,市民が無料で受けれるガン検診はありますか？,14 939,574 1144 1604 904 1590 1241,465 489 17,"['14', '939', '574', '1144', '1604', '904', '1590', '1241', '465', '489', '17']","['14', '939', '574', '1144', '1604', '904', '1590', '1241']","['14', '939']","['14', '939', '574', '1144', '1604', '904', '1590', '1241', '465', '489', '17']"
752,住民票の写しは、市役所でしか受け取れませんか？,62,70 1239 403 1102 444,213 447,"['62', '70', '1239', '403', '1102', '444', '213', '447']","['62', '70', '1239', '403', '1102', '444']",['62'],"['62', '70', '1239', '403', '1102', '444', '213', '447']"
753,新築をするのだが固定資産税の計算方法を知りたい,,237 683,1315,"['237', '683', '1315']","['237', '683']",[],"['237', '683', '1315']"
754,こどもを保育園に預けたいんだけど、どうすればいい？,966 908 674,1207,200 660,"['966', '908', '674', '1207', '200', '660']","['966', '908', '674', '1207']","['966', '908', '674']","['966', '908', '674', '1207', '200', '660']"
755,こどもを学童に行かせたいけど、どうすればいい？,111,,956 1575 1187 1632 1535 1536 1319,"['111', '956', '1575', '1187', '1632', '1535', '1536', '1319']",['111'],['111'],"['111', '956', '1575', '1187', '1632', '1535', '1536', '1319']"
756,確定申告はどこに行けばいい？,,339 1136 141 731 336 1148 124 99,325,"['339', '1136', '141', '731', '336', '1148', '124', '99', '325']","['339', '1136', '141', '731', '336', '1148', '124', '99']",[],"['339', '1136', '141', '731', '336', '1148', '124', '99', '325']"
757,生涯教育の無料セミナーは開催しているか？,1235 927,,,"['1235', '927']","['1235', '927']","['1235', '927']","['1235', '927']"
758,役所が夜間あいている日はありますか？,153,635 831,952,"['153', '635', '831', '952']","['153', '635', '831']",['153'],"['153', '635', '831', '952']"
759,市役所は何時に閉まりますか？,213,138 2,,"['213', '138', '2']","['213', '138', '2']",['213'],"['213', '138', '2']"
760,市役所は、土曜日も開いてますか？,42,,153,"['42', '153']",['42'],['42'],"['42', '153']"
761,粗大ゴミの収集はどうやって申請したらいい？,1784,210,,"['1784', '210']","['1784', '210']",['1784'],"['1784', '210']"
762,仕事を辞めたんでいろいろ手続きにきたんですが？,114 1223,,,"['114', '1223']","['114', '1223']","['114', '1223']","['114', '1223']"
763,印鑑証明に必要なものは何ですか？,529,444 341,582 1597 1634 213,"['529', '444', '341', '582', '1597', '1634', '213']","['529', '444', '341']",['529'],"['529', '444', '341', '582', '1597', '1634', '213']"
764,保育園の待機児童はどうやって調べたらいい？,1225,,,['1225'],['1225'],['1225'],['1225']
765,妊娠したらどんな手続きが必要？,370 198 306,,97 281,"['370', '198', '306', '97', '281']","['370', '198', '306']","['370', '198', '306']","['370', '198', '306', '97', '281']"
766,市職員になりたいのですがどうすれば良いですか？,367,1561,911 118,"['367', '1561', '911', '118']","['367', '1561']",['367'],"['367', '1561', '911', '118']"
767,大型ごみはどうやって捨てるの？,1784,210,,"['1784', '210']","['1784', '210']",['1784'],"['1784', '210']"
768,公民館を使いたいんだけど借りれる？,264,,663 292,"['264', '663', '292']",['264'],['264'],"['264', '663', '292']"
769,健康保険料が滞納になりそうですがどうすればいいですか？,740 874,451 997 248 553 700 1065 235 845,450,"['740', '874', '451', '997', '248', '553', '700', '1065', '235', '845', '450']","['740', '874', '451', '997', '248', '553', '700', '1065', '235', '845']","['740', '874']","['740', '874', '451', '997', '248', '553', '700', '1065', '235', '845', '450']"
770,介護保険サービスを受けたいのですがどうしたらいいですか？,9,108 72 33 24 132,69,"['9', '108', '72', '33', '24', '132', '69']","['9', '108', '72', '33', '24', '132']",['9'],"['9', '108', '72', '33', '24', '132', '69']"
771,ゴミの分別やゴミの日のチラシや冊子はどこでもらえるの？,1784,63,1391,"['1784', '63', '1391']","['1784', '63']",['1784'],"['1784', '63', '1391']"
772,子供が進学する小学校の学区を知りたいのですが。,221,1313 1392 1393,,"['221', '1313', '1392', '1393']","['221', '1313', '1392', '1393']",['221'],"['221', '1313', '1392', '1393']"
773,ゴミの分別方法と回収日が知りたい。,1784,63 210,978 1391,"['1784', '63', '210', '978', '1391']","['1784', '63', '210']",['1784'],"['1784', '63', '210', '978', '1391']"
774,健康相談はどこに聞けばいい？,361,1000,,"['361', '1000']","['361', '1000']",['361'],"['361', '1000']"
775,高額の医療費がかかった。何か控除はありますか？,557,,917,"['557', '917']",['557'],['557'],"['557', '917']"
776,粗大ゴミがあるんですけどどこに連絡したらいいですか？,,210,,['210'],['210'],[],['210']
777,子どもと一緒にボール遊びがしたいのですがどこならできますか？,,94,,['94'],['94'],[],['94']
778,生活保護申請はどうやってすればいいの？,298,,243,"['298', '243']",['298'],['298'],"['298', '243']"
779,保護犬の引き取りを希望していますがどうしたらいいですか？,,1134 503 514 1499 1670,1342,"['1134', '503', '514', '1499', '1670', '1342']","['1134', '503', '514', '1499', '1670']",[],"['1134', '503', '514', '1499', '1670', '1342']"
780,子供手当の申請はどうしたらいいの？,91 222 380 126,,1765 1757 263 1588,"['91', '222', '380', '126', '1765', '1757', '263', '1588']","['91', '222', '380', '126']","['91', '222', '380', '126']","['91', '222', '380', '126', '1765', '1757', '263', '1588']"
781,県外に引っ越しする場合の手続きを教えて下さい。,8,2 204 138 42,192 199 33 651 1118,"['8', '2', '204', '138', '42', '192', '199', '33', '651', '1118']","['8', '2', '204', '138', '42']",['8'],"['8', '2', '204', '138', '42', '192', '199', '33', '651', '1118']"
782,住民票を移すのはどうすれば良い？,8 138,150 447 62 70 1056 1215 846,,"['8', '138', '150', '447', '62', '70', '1056', '1215', '846']","['8', '138', '150', '447', '62', '70', '1056', '1215', '846']","['8', '138']","['8', '138', '150', '447', '62', '70', '1056', '1215', '846']"
783,マイナンバーカードを発行したいけれども、通知カードをなくした場合はどうすればいい？,,408 902 576 969 858 987,1269 1190 1400 692,"['408', '902', '576', '969', '858', '987', '1269', '1190', '1400', '692']","['408', '902', '576', '969', '858', '987']",[],"['408', '902', '576', '969', '858', '987', '1269', '1190', '1400', '692']"
